Ticker,Name
RAYMOND,RAYMOND LTD.
PIDILITIND,PIDILITE INDUSTRIES LTD.
PIXTRANS,PIX TRANSMISSIONS LTD.
BIRLACORPN,BIRLA CORPORATION LTD.
SURYAROSNI,SURYA ROSHNI LTD.
PRIMESECU,PRIME SECURITIES LTD.
PRISMCEM,PRISM CEMENT LTD.
RAIN,Rain Industries Ltd
PDUMJEPULP,PUDUMJEE PULP &amp; PAPER MILLS LTD.
PUNJCOMMU,PUNJAB COMMUNICATIONS LTD.-$
RSWM,RSWM LTD.
RAJSREESUG,RAJSHREE SUGARS &amp; CHEMICALS LTD.
RALLIS,RALLIS INDIA LTD.
RAMANEWS,SHREE RAMA NEWSPRINT LTD.
RAMAPPR-B,RAMA PAPER MILLS LTD.
RAMAPETRO,RAMA PETROCHEMICALS LTD.
RAPICUT,RAPICUT CARBIDES LTD.
RMGALLOY,RMG Alloy Steel Limited
ROLTA,ROLTA INDIA LTD.
RUBFILA,RUBFILA INTERNATIONAL LTD.
RUCHISOYA,RUCHI SOYA INDUSTRIES LTD.
SALORAINTL,SALORA INTERNATIONAL LTD.
SAMTELIN,SAMTEL INDIA LTD.-$
SAMTEL,SAMTEL COLOR LTD.
JINDALSAW,JINDAL SAW LTD.
JKLAKSHMI,JK LAKSHMI CEMENT LTD.
SHREECEM,SHREE CEMENT LTD.
SKPMIL,SHREE KRISHNA PAPER MILLS &amp; INDUSTRIES LTD.
RELINFRA,RELIANCE INFRASTRUCTURE LTD.
SOLCT,SOLID CARBIDE TOOLS LTD.
STEELCO,STEELCO GUJARAT LTD.
TATAPOWER,TATA POWER CO.LTD.
SPMLINFRA,SPML Infra Limited
SUNDRMFAST,SUNDRAM FASTENERS LTD.
SUNFLAG,SUNFLAG IRON &amp; STEEL CO.LTD.
SUPPETRO,SUPREME PETROCHEM LTD.
SWARAJENG,SWARAJ ENGINES LTD.
TATAELXSI,TATA ELXSI LTD.
ACC,ACC LTD.
THERMAX,THERMAX LTD.
TIRUMALCHM,THIRUMALAI CHEMICALS LTD.
THOMASCOOK,THOMAS COOK (INDIA) LTD.
TIMEX,TIMEX GROUP INDIA LTD.-$
TOKYOPLAST,TOKYO PLAST INTERNATIONAL LTD.
TORNTPHARM,TORRENT PHARMACEUTICALS LTD.
TRANSCHEM,TRANSCHEM LTD.-$
AMBUJACEM,AMBUJA CEMENTS LTD.
UTLINDS,UTL Industries Limited
UNIPHOS,UNIPHOS ENTERPRISES LTD.
VHL,VARDHMAN HOLDINGS LTD.
HINDALCO,HINDALCO INDUSTRIES LTD.
WSTCSTPAPR,WEST COAST PAPER MILLS LTD.
HOCL,HINDUSTAN ORGANIC CHEMICALS LTD.
MPILCORPL,MPIL CORPORATION LTD.
PASUPTAC,PASUPATI ACRYLON LTD.
KORE,Kore Foods Ltd
PGHH,PROCTER &amp; GAMBLE HYGIENE &amp; HEALTH CARE LTD.
MUKANDLTD,MUKAND LTD.
AGCNET,AGC Networks Limited
